timestamp,dr0135,dqctcf,dr182s,dqce4s,dqfj4k,dr11p6,dr1cpf,dqc4z7,dqcft7,dr0bwc,dpp8up,dr18zv,dqcr39,dqcz5x,dqcneh,dqckgk,dqcyhe,dqc96t,dqf09g,dqcu6t,dr09m3,dqf4qb,dqf3qq,dqcx8d
2018-01-02 13:00:00,55.744,530.765,512.837,114.904,40.043,206.489,86.987,155.957,43.96,259.85,38.561,181.197,261.631,27.676,577.21,673.49,67.506,127.489,23.732,51.763,185.015,85.142,120.136,379.651
2018-01-02 14:00:00,48.761,481.505,468.384,109.865,37.439,186.681,77.411,134.604,45.139,221.076,36.879,162.272,239.848,24.298,526.054,573.577,60.926,119.329,20.537,46.808,163.587,80.036,107.718,341.59
2018-01-02 15:00:00,42.781,446.696,430.343,100.714,37.012,181.976,73.504,122.134,43.215,203.274,33.223,152.232,221.288,23.285,488.688,539.448,58.358,111.714,20.025,43.575,153.89,76.0,105.432,313.679
2018-01-02 16:00:00,42.162,455.363,438.025,105.413,38.547,192.656,79.235,125.059,43.425,212.783,33.284,154.817,227.283,23.874,496.18,550.113,59.624,118.201,25.64,42.886,149.983,80.593,114.759,321.596
2018-01-02 17:00:00,48.778,508.705,479.219,127.882,41.607,218.168,87.981,137.43,47.195,245.451,35.319,165.207,253.911,25.66,526.93,619.891,61.657,129.867,30.498,47.011,155.412,95.867,129.602,343.019
2018-01-02 18:00:00,58.052,546.446,514.636,137.198,43.353,245.415,93.668,150.576,49.177,269.547,38.129,183.395,272.302,26.733,556.687,673.533,61.458,132.316,32.441,47.477,162.851,104.784,140.017,367.913
2018-01-02 19:00:00,63.029,585.482,559.137,162.694,46.265,267.381,96.337,178.352,53.635,286.581,40.394,204.12,294.872,27.936,605.29,754.245,66.047,153.937,35.101,48.735,174.538,111.161,152.142,404.214
2018-01-02 20:00:00,64.526,592.664,564.556,178.978,48.501,279.452,97.194,204.71,59.172,320.887,41.337,209.043,294.039,31.389,612.009,784.576,72.128,165.93,36.811,54.033,184.412,124.141,159.959,404.026
2018-01-02 21:00:00,65.887,591.326,564.515,169.345,50.05,288.827,93.74,224.09,63.066,368.494,42.2,200.456,286.648,30.847,618.789,807.991,67.411,168.255,39.272,53.938,184.498,140.809,164.887,399.721
2018-01-02 22:00:00,70.796,608.865,582.702,172.242,51.341,273.212,101.121,253.006,65.761,390.427,41.072,210.732,292.614,30.491,632.35,870.304,64.719,170.723,41.02,55.204,190.152,152.284,181.279,412.069
2018-01-02 23:00:00,76.198,657.079,634.882,181.924,54.686,240.505,107.724,277.179,66.809,407.697,40.7,229.682,319.539,32.741,653.614,931.299,67.901,179.361,42.822,59.319,197.439,159.051,196.581,446.515
2018-01-03 00:00:00,81.701,713.029,698.009,195.091,56.566,239.113,111.767,294.32,70.421,424.887,39.179,251.556,347.747,35.35,667.994,952.009,68.885,193.875,43.502,61.76,204.984,165.923,204.595,484.412
2018-01-03 01:00:00,88.074,727.979,712.088,188.971,56.957,244.032,114.596,299.319,66.743,446.738,39.244,254.372,349.956,37.245,698.733,967.26,71.297,181.696,45.19,63.113,212.565,174.514,212.42,488.769
