timestamp,dr0135,dqctcf,dr182s,dqce4s,dqfj4k,dr11p6,dr1cpf,dqc4z7,dqcft7,dr0bwc,dpp8up,dr18zv,dqcr39,dqcz5x,dqcneh,dqckgk,dqcyhe,dqc96t,dqf09g,dqcu6t,dr09m3,dqf4qb,dqf3qq,dqcx8d
2018-01-02 13:00:00,0.118,0.959,6.843,0.115,0.026,1.098,0.065,0.469,0.53,1.911,0.097,0.784,2.647,0.046,10.511,4.138,0.003,0.416,0.002,0.46,0.969,0.291,0.266,12.021
2018-01-02 14:00:00,0.118,1.074,6.832,0.11,0.02,1.031,0.042,0.492,0.461,1.924,0.089,0.811,2.518,0.049,10.625,4.56,0.002,0.389,0.0,0.465,1.057,0.295,0.276,11.801
2018-01-02 15:00:00,0.116,1.13,6.634,0.124,0.007,0.966,0.033,0.317,0.405,1.653,0.076,0.812,2.459,0.047,10.345,4.443,0.002,0.4,0.0,0.397,0.807,0.29,0.212,11.823
2018-01-02 16:00:00,0.104,1.066,5.913,0.097,0.002,0.797,0.017,0.181,0.443,1.471,0.087,0.663,2.289,0.039,8.767,3.749,0.005,0.246,0.0,0.412,0.515,0.205,0.235,10.881
2018-01-02 17:00:00,0.088,0.826,4.847,0.048,0.001,0.73,0.016,0.13,0.413,1.295,0.096,0.566,1.935,0.019,6.093,2.252,0.018,0.075,0.0,0.319,0.342,0.157,0.249,8.708
2018-01-02 18:00:00,0.058,0.741,4.509,0.065,0.003,0.693,0.026,0.141,0.402,1.259,0.105,0.484,1.835,0.009,5.274,1.848,0.013,0.057,0.0,0.297,0.284,0.094,0.234,7.818
2018-01-02 19:00:00,0.059,0.606,4.399,0.102,0.002,0.679,0.073,0.115,0.397,1.265,0.114,0.431,1.797,0.001,5.184,1.833,0.01,0.05,0.0,0.275,0.266,0.082,0.231,7.182
2018-01-02 20:00:00,0.06,0.651,4.339,0.094,0.006,0.655,0.073,0.141,0.386,1.165,0.13,0.384,1.764,0.016,5.055,1.794,0.003,0.051,0.0,0.269,0.743,0.087,0.204,6.973
2018-01-02 21:00:00,0.054,0.543,4.335,0.072,0.005,0.642,0.028,0.095,0.385,1.078,0.167,0.42,1.718,0.01,4.634,1.684,0.008,0.041,0.0,0.271,0.573,0.109,0.232,6.838
2018-01-02 22:00:00,0.068,0.54,4.297,0.071,0.002,0.664,0.041,0.104,0.383,1.041,0.138,0.366,1.679,0.001,4.4,1.681,0.004,0.035,0.0,0.273,0.568,0.104,0.198,6.626
