timestamp,dr7fd3,drkmbf,dr7vtr,drk7tw,drk5jp,drkezj,drkw1u,drkvcy
2018-09-29 16:00:00,145.785,196.361,23.698,37.045,168.144,45.02,21.214,17.584
2018-09-29 17:00:00,114.734,139.646,18.203,29.03,128.367,33.599,15.839,12.611
2018-09-29 18:00:00,68.709,81.409,12.681,20.646,89.528,19.279,8.902,7.154
2018-09-29 19:00:00,43.165,50.276,7.853,15.049,63.809,10.94,5.489,3.962
2018-09-29 20:00:00,32.876,35.519,6.057,8.907,38.798,8.193,4.121,3.016
2018-09-29 21:00:00,25.159,26.705,4.951,4.449,24.484,6.864,3.522,2.436
2018-09-29 22:00:00,15.561,20.267,3.223,2.092,15.282,3.786,1.727,1.223
2018-09-29 23:00:00,10.339,14.314,1.958,1.173,9.073,2.15,0.892,0.684
2018-09-30 00:00:00,8.291,11.934,1.121,0.688,6.069,1.636,0.548,0.37
2018-09-30 01:00:00,7.152,10.456,0.863,0.56,4.95,1.195,0.353,0.309
2018-09-30 02:00:00,6.857,10.428,0.76,0.408,4.486,1.097,0.297,0.271
2018-09-30 03:00:00,6.355,10.094,0.563,0.306,4.011,1.01,0.331,0.255
2018-09-30 04:00:00,6.219,10.066,0.559,0.279,4.086,1.078,0.29,0.246
2018-09-30 05:00:00,6.436,10.282,0.517,0.285,4.141,1.085,0.393,0.262
2018-09-30 06:00:00,7.299,10.83,0.769,0.496,4.562,1.138,0.563,0.338
2018-09-30 07:00:00,9.393,14.816,1.02,0.956,7.72,1.679,0.967,0.468
2018-09-30 08:00:00,16.302,21.808,2.226,4.601,17.347,3.909,1.984,1.129
2018-09-30 09:00:00,30.074,35.364,4.583,7.901,30.213,6.834,3.627,2.153
2018-09-30 10:00:00,42.924,52.397,7.251,12.074,46.97,12.217,5.678,4.498
2018-09-30 11:00:00,52.624,74.279,9.462,17.349,70.119,18.012,7.825,6.862
2018-09-30 12:00:00,66.387,91.652,12.009,22.925,95.677,24.621,10.217,9.533
2018-09-30 13:00:00,84.551,104.13,15.299,27.593,119.848,29.122,12.597,11.637
2018-09-30 14:00:00,94.839,128.05,18.195,30.416,132.833,33.474,14.855,13.661
2018-09-30 15:00:00,100.726,147.828,20.163,31.737,138.932,37.001,16.556,14.732
2018-09-30 16:00:00,94.92,140.673,20.214,29.127,127.236,36.998,17.257,14.334
2018-09-30 17:00:00,73.135,102.677,16.642,22.279,96.208,27.15,12.933,10.058
2018-09-30 18:00:00,47.168,66.146,10.856,12.948,56.481,15.634,7.398,5.589
2018-09-30 19:00:00,31.84,46.678,7.515,8.615,36.293,9.92,5.169,3.312
2018-09-30 20:00:00,24.838,36.511,6.381,5.795,26.77,7.744,4.194,2.748
2018-09-30 21:00:00,19.518,29.653,4.798,3.66,19.254,6.397,3.456,2.294
2018-09-30 22:00:00,15.567,24.161,3.326,1.843,13.083,3.406,1.977,1.366
2018-09-30 23:00:00,13.256,18.778,2.282,1.205,8.771,1.872,1.025,0.597
2018-10-01 00:00:00,10.97,16.725,1.713,1.008,7.016,1.665,0.586,0.448
2018-10-01 01:00:00,9.631,15.374,1.52,1.141,6.515,1.51,0.47,0.516
2018-10-01 02:00:00,8.924,15.31,1.315,1.791,5.758,1.094,0.388,0.389
2018-10-01 03:00:00,8.947,15.777,1.14,1.912,5.931,1.105,0.294,0.367
2018-10-01 04:00:00,13.085,18.982,1.319,2.187,6.598,1.661,0.711,0.566
2018-10-01 05:00:00,17.624,23.683,1.721,2.793,9.511,2.272,0.97,0.948
2018-10-01 06:00:00,19.86,28.576,1.935,3.837,12.025,2.879,0.936,0.757
2018-10-01 07:00:00,23.984,32.743,2.395,4.565,17.744,2.34,0.724,0.547
2018-10-01 08:00:00,29.41,39.085,3.482,5.196,23.571,3.212,0.938,1.009
2018-10-01 09:00:00,35.306,46.805,3.841,7.032,31.689,5.237,1.306,1.892
2018-10-01 10:00:00,43.201,52.695,4.817,9.752,46.56,7.705,2.074,3.262
2018-10-01 11:00:00,52.067,64.197,5.828,11.997,60.524,10.585,2.797,3.887
2018-10-01 12:00:00,55.024,88.925,6.556,12.954,63.405,10.429,3.011,3.973
2018-10-01 13:00:00,70.831,109.644,8.263,13.263,61.628,10.461,3.484,3.757
2018-10-01 14:00:00,91.155,112.048,11.095,13.88,64.019,12.088,4.421,4.523
2018-10-01 15:00:00,107.097,103.772,14.435,15.151,72.217,12.811,5.004,4.852
2018-10-01 16:00:00,111.752,83.821,17.119,16.563,77.26,11.117,4.196,4.221
2018-10-01 17:00:00,97.727,52.707,16.157,15.636,68.818,7.412,2.503,2.452
2018-10-01 18:00:00,73.172,41.832,12.089,11.867,49.796,5.792,1.985,1.965
2018-10-01 19:00:00,66.443,37.081,9.63,9.925,39.15,5.606,1.914,1.813
2018-10-01 20:00:00,59.535,32.521,7.081,7.661,28.836,5.246,2.04,1.843
